timestamp[us],temp[celsius],ax[m/s^2],ay[m/s^2],az[m/s^2],gx[rad/s],gy[rad/s],gz[rad/s]
19305441,27.7231,0.0261594,-0.0636666,9.81595,0.000413981,0.00210405,-0.00155579
19313948,27.7183,-0.0240501,-0.0296713,9.81588,0.000358933,0.00296437,-0.00108033
19321863,27.7144,-0.0555733,-0.00836434,9.81565,0.000442296,0.00229529,-8.75587e-05
19329858,27.7095,-0.0555704,-0.00945261,9.80887,0.000188236,4.1309e-05,0.00155472
19337873,27.7036,-0.0183274,-0.0338274,9.80292,-0.000338536,-0.00225646,0.0024566
19345923,27.7153,0.0370324,-0.0735579,9.80922,-0.00081469,-0.0035977,0.00280532
19354401,27.7295,0.0896278,-0.11362,9.80702,-0.000608005,-0.0034476,0.00204136
19362908,27.7188,0.119312,-0.132994,9.79426,-0.000368473,-0.00191673,0.000779666
19370467,27.7163,0.108693,-0.125329,9.79687,0.000425046,0.000287185,-0.000124573
19378974,27.7339,0.0656446,-0.0957893,9.80927,0.000455699,0.00307995,-0.000910594
19387481,27.7339,0.0139394,-0.0577952,9.80758,0.000645259,0.00413208,-0.000970837
19395988,27.7271,-0.0223356,-0.0340094,9.82532,0.000495719,0.00342371,-0.000452741
19404126,27.7212,-0.0294833,-0.0277901,9.82631,0.000350899,0.00135864,0.000235962
19412024,27.7144,-0.00711214,-0.0448287,9.81723,0.000105657,-0.00130105,0.000757399
19420531,27.7173,0.0311042,-0.0764454,9.80416,-0.000559353,-0.00267686,0.00110675
19429038,27.7153,0.071827,-0.105523,9.82028,-0.000349441,-0.00264212,0.000667416
19436567,27.7324,0.0952463,-0.121787,9.82382,-0.000144049,-0.00195534,-0.000114918
19445074,27.7329,0.0906202,-0.114,9.80426,7.70175e-05,-0.000327767,-0.00126434
19453581,27.7197,0.0593554,-0.0868271,9.79823,0.000394521,0.00148884,-0.00201293
19462088,27.7261,0.0147378,-0.055669,9.80534,0.000528912,0.00305794,-0.00174947
19470336,27.7236,-0.0245415,-0.0340507,9.81449,0.000452845,0.00330762,-0.00110289
