timestamp[us],temp[celsius],ax[m/s^2],ay[m/s^2],az[m/s^2],gx[rad/s],gy[rad/s],gz[rad/s]
10776309,31.3804,-0.0400047,0.0131389,9.82795,-0.000373083,1.54841e-05,-0.000115566
10784268,31.3853,-0.0376017,0.0138942,9.81137,-0.00033144,0.000168388,-3.40599e-06
10792776,31.3857,-0.0398391,0.0133373,9.8173,-0.000218311,0.000226025,-7.95567e-05
10801284,31.3765,-0.04723,0.01292,9.81281,1.16173e-05,0.000379192,-6.22017e-06
10808842,31.3682,-0.0456382,0.0167442,9.81634,-3.04223e-05,0.000129188,-0.000175842
10817349,31.3789,-0.0464286,0.0210042,9.81739,1.05507e-05,0.000204916,-2.19098e-05
10825857,31.3794,-0.050191,0.0156123,9.81808,-0.000370986,-0.000195401,-5.8749e-05
10834365,31.3696,-0.0462643,0.0149772,9.81183,0.000107672,0.000474484,-6.28867e-05
10843640,31.3774,-0.0421086,0.0126217,9.81821,-0.00037201,0.000167346,3.47037e-05
10851482,31.3838,-0.0381238,0.0143378,9.81589,-0.000239877,0.000358351,-4.11283e-05
10859492,31.3848,-0.0408236,0.0142384,9.82179,3.09871e-05,0.000187167,3.51417e-05
10867415,31.3779,-0.040651,0.0124853,9.82026,-0.000237762,0.000225477,7.52633e-05
10877139,31.3818,-0.0419215,0.0128762,9.81361,-0.000103167,0.000244436,-2.2048e-05
10884470,31.3813,-0.0487684,0.0131593,9.81788,-0.00020041,0.00028236,9.12715e-05
10891987,31.3853,-0.0495756,0.0185708,9.81626,1.05125e-05,0.000303326,3.39994e-05
10900495,31.3867,-0.0487692,0.0190755,9.81632,-0.000275862,-5.82215e-06,9.17488e-05
10909109,31.3696,-0.0465611,0.0192667,9.81358,-0.000276187,0.000342614,-1.92013e-06
10917617,31.3691,-0.0449297,0.0127523,9.82271,-0.00033361,0.000204896,-0.000154111
10925475,31.3594,-0.044497,0.0127252,9.8121,-6.85294e-05,5.18868e-05,-0.000118148
10933564,31.3608,-0.0359281,0.00974921,9.81346,0.000222078,0.00031954,3.37527e-05
10941121,31.3638,-0.0378037,0.01021,9.82172,-6.29974e-06,0.000168476,0.00028201
10949628,31.3696,-0.0413759,0.0129893,9.81886,-0.000143265,9.4483e-05,9.19035e-05
10958136,31.3672,-0.0446645,0.0179198,9.81194,-0.000122448,0.000245545,1.69948e-05
10966614,31.3633,-0.0480242,0.0157712,9.81806,-6.02907e-06,0.000417672,0.000206362
10974171,31.3823,-0.0495253,0.0165712,9.81717,-2.77219e-05,0.000246911,3.52776e-05
10982679,31.377,-0.0499764,0.0178599,9.81614,-0.000277525,0.000169441,-5.95628e-05
10991186,31.3799,-0.0461509,0.0171301,9.81408,0.000200942,0.000225778,-0.000177005
10999694,31.377,-0.0407065,0.0134751,9.81725,-9.08245e-06,0.000301189,-0.000158845
11008800,31.375,-0.0384318,0.00981271,9.81484,2.87334e-05,0.000245932,-0.000118703
11017308,31.3818,-0.0375797,0.0118853,9.81916,-0.000104862,0.000590198,1.58191e-05
11025433,31.3647,-0.0401322,0.0149319,9.81712,-0.000123285,0.000321984,7.26894e-05
11032744,31.3667,-0.0442483,0.0166148,9.81759,-4.65895e-05,0.000150006,0.000186772
11040952,31.3828,-0.047668,0.0181244,9.8168,-0.000219568,0.00013018,0.000149119
11048810,31.3872,-0.0478502,0.0168484,9.81882,-4.68396e-05,8.8777e-05,-2.42328e-05
11057317,31.375,-0.0480971,0.0173979,9.8151,-0.00035366,7.22411e-05,-3.99573e-05
11065825,31.3784,-0.0469735,0.0187025,9.81387,-4.664e-05,0.000265095,-2.22861e-05
11073382,31.3779,-0.0411707,0.0155517,9.82048,-6.70998e-05,0.000111129,-2.215e-05
11081889,31.3682,-0.039833,0.0122646,9.82046,-2.74225e-05,0.000321651,7.3764e-05
11090367,31.3706,-0.04145,0.0123301,9.81878,-0.00033516,0.000281371,3.50865e-05
11098875,31.3765,-0.0417781,0.0133664,9.81357,-0.000277372,0.000492461,-2.1611e-05
11106959,31.3765,-0.0410646,0.0134189,9.81957,-0.000141911,0.000167845,0.000130447
11115061,31.3691,-0.0469203,0.0177475,9.8165,-0.000181292,0.000186681,1.49214e-05
11123539,31.376,-0.0491225,0.0194635,9.81862,3.00012e-05,0.000244149,1.42409e-05
11132047,31.3789,-0.0492431,0.0156031,9.81525,8.76398e-05,0.000396521,-2.3827e-05
11139512,31.3833,-0.044701,0.0163258,9.81863,-0.0003152,-4.62726e-06,-0.00015491
11148019,31.3901,-0.0438142,0.0148433,9.81499,-0.000181053,-2.44955e-05,-0.000251189
11156497,31.3789,-0.0436751,0.0142991,9.82181,-0.00010629,0.000226351,-0.000212886
11165005,31.3706,-0.0410912,0.0170156,9.81753,-0.000180416,0.000265123,-5.98058e-05
11174198,31.3716,-0.0417853,0.0137961,9.81842,-0.000199234,0.000168274,-0.000136107
11181517,31.3726,-0.0424479,0.0130473,9.81911,-0.000218742,0.000225084,-0.000117104
11189578,31.3755,-0.0454395,0.0152845,9.81823,-0.000410734,0.00013045,-0.000114626
11198085,31.3711,-0.0486995,0.0172805,9.81372,-0.000408418,0.000318669,-9.7459e-05
11206725,31.3721,-0.0451702,0.0150018,9.81706,-0.000256544,0.000205555,-0.000117236
11215201,31.3813,-0.045847,0.0139335,9.82038,-0.000277713,5.46804e-05,3.49857e-05
11223075,31.3701,-0.0453367,0.0149422,9.81181,-8.56875e-05,0.000301015,-0.000212785
11231135,31.3691,-0.0414157,0.0124013,9.81755,-2.65413e-05,0.00022697,-4.16297e-05
11238692,31.3735,-0.0402801,0.0134108,9.81881,-0.000278278,0.000186671,-0.00013563
11247200,31.3726,-0.0400141,0.013287,9.81857,-0.000106926,7.1311e-05,-0.000155181
11255708,31.3735,-0.0438807,0.0130834,9.812,-0.000123451,0.000399688,-4.12099e-05
11264216,31.3745,-0.0433797,0.0144165,9.81474,-8.63531e-05,0.000589332,-0.000214723
11271742,31.373,-0.0444241,0.0130841,9.81874,-0.000334514,0.000168639,-7.78237e-05
11280250,31.3735,-0.0440328,0.0151956,9.81105,-0.000355211,0.000264092,-2.09146e-05
11288758,31.3662,-0.0453905,0.0144344,9.81007,-4.82516e-05,0.000339695,-0.000157008
11297266,31.3628,-0.0427856,0.0115714,9.82024,-8.46151e-05,0.000281898,1.49785e-05
11306419,31.3721,-0.0425878,0.0130055,9.81727,-0.000201384,0.000322465,1.65163e-05
11314927,31.3687,-0.043104,0.0158513,9.81749,-0.000180404,0.000396933,-4.14602e-05
11323072,31.3594,-0.0430794,0.0159163,9.81438,1.15127e-05,0.000340429,5.39472e-05
11330377,31.3623,-0.0433835,0.0154048,9.81905,-0.000295234,0.000225434,7.30828e-05
11337872,31.3677,-0.0449311,0.0149181,9.8172,6.89369e-05,0.000264842,5.38436e-05
11346381,31.3672,-0.0442115,0.0144406,9.81806,-8.21504e-05,0.000111295,3.63629e-05
11354888,31.3716,-0.0460667,0.0135145,9.81482,-0.0001231,0.000266186,1.48505e-05
11363396,31.3657,-0.0471383,0.0156822,9.81887,0.000107602,0.000131182,-4.27217e-05
11370953,31.3691,-0.0450934,0.015497,9.81666,0.000183671,0.000225301,7.0407e-05
11379461,31.3779,-0.0435756,0.0143066,9.81882,-0.00017851,-2.28182e-05,3.6335e-05
11387969,31.373,-0.0460378,0.0141086,9.81465,-0.000123035,0.000225563,0.000109921
11396446,31.3687,-0.0425198,0.0144044,9.81452,6.89082e-05,0.000223584,-0.000118524
11405831,31.3608,-0.041404,0.0126865,9.81965,-6.80089e-06,-2.52193e-05,-2.22065e-05
11413579,31.3662,-0.0435126,0.0117882,9.81778,-0.000256529,-2.1245e-06,-1.9672e-05
11421671,31.3672,-0.042415,0.0141694,9.81258,0.00014777,0.000111798,-4.11712e-06
11429526,31.377,-0.0432786,0.0136279,9.81618,-2.49905e-05,0.000111281,1.47301e-05
11437476,31.375,-0.0444704,0.0132399,9.8188,0.00016504,0.00039863,9.00527e-05
11445984,31.3647,-0.0469556,0.0160074,9.81692,0.000145935,-2.78419e-06,0.000129287
11454492,31.3706,-0.0450072,0.0162663,9.81646,0.000317058,5.44324e-05,-2.50586e-05
11462576,31.3789,-0.0431948,0.0131689,9.81823,-6.42027e-05,0.000224967,0.000243307
11471228,31.3711,-0.0422136,0.0136215,9.81893,-2.56558e-05,9.15793e-05,0.000110699
11479247,31.3608,-0.041314,0.0126086,9.81522,-0.000274982,3.48286e-05,7.33732e-05
11487149,31.3613,-0.0415849,0.0151259,9.81507,0.000335339,0.000151973,0.000108464
11495657,31.3711,-0.0419825,0.0145536,9.81804,-0.000102634,0.000153752,0.000264847
11503741,31.3735,-0.0456869,0.0160153,9.82861,-0.000160805,0.000148734,0.000245749
11511722,31.3696,-0.0446479,0.0175748,9.82057,-0.000351024,9.29419e-05,0.000226671
11520229,31.3691,-0.0411595,0.0160457,9.80428,-0.000217024,0.000111329,0.000206856
11528737,31.3711,-0.048652,0.018807,9.81365,-8.11982e-06,0.000418731,0.000167536
11537367,31.3784,-0.0492203,0.0171024,9.82679,-0.000160041,-0.000158552,3.61531e-05
11545352,31.3774,-0.0465055,0.0168595,9.81463,-0.000123245,0.000244492,-0.000135042
11553279,31.3794,-0.0433934,0.0112353,9.81053,-0.00012388,7.25826e-05,-0.000116774
11561787,31.3779,-0.0412159,0.00751362,9.81646,-2.86004e-05,0.000129695,-1.99741e-06
11569826,31.3687,-0.0384477,0.00947889,9.81934,-0.000274967,-4.09408e-05,0.000112937
11578334,31.3701,-0.0402745,0.0172313,9.81079,-8.34116e-05,0.000247537,0.000188272
11586842,31.3701,-0.0492887,0.0174586,9.81346,6.77403e-05,0.000304613,-2.19052e-05
11594837,31.3628,-0.0470629,0.0213695,9.82857,0.000241855,0.000265913,0.000146244
11603505,31.3657,-0.0477135,0.0158364,9.80793,0.000107434,-2.32498e-05,-6.2296e-05
11611537,31.3711,-0.0475781,0.0125921,9.81808,1.14821e-05,0.000111807,1.41429e-05
11620045,31.3726,-0.048099,0.0141548,9.81901,-4.60073e-05,0.000359262,7.21825e-05
11627917,31.3701,-0.0386645,0.0147143,9.82659,0.00018474,-2.44733e-05,0.000129207
11635476,31.3701,-0.0367996,0.0152768,9.80617,-8.16867e-05,0.000320763,-4.22473e-06
11643982,31.3716,-0.0425453,0.010165,9.82063,-0.000103084,0.000341824,0.000110922
11652490,31.374,-0.0424063,0.0140665,9.82092,5.34218e-05,-5.84811e-05,0.000129889
11660998,31.3687,-0.0428112,0.0149033,9.82068,-2.55429e-05,0.000150628,-3.63962e-06
11670037,31.3765,-0.0484725,0.0150127,9.81158,-4.58775e-06,0.000168645,0.000149123
11677361,31.3853,-0.0498053,0.0146004,9.81963,-0.000196066,0.000225509,0.000170085
11685541,31.373,-0.0465241,0.0212636,9.81522,8.5998e-05,0.000282461,-3.62454e-06
11694048,31.3569,-0.0417035,0.0161314,9.81822,-0.00012236,0.000227125,3.63162e-05
11701605,31.3574,-0.0435142,0.0118734,9.81314,-0.000238567,0.000167211,-0.000192873
11710113,31.3687,-0.0447906,0.0133394,9.81927,-0.00017995,0.000263071,9.25173e-05
11718620,31.3691,-0.0421852,0.015478,9.81911,5.15711e-05,0.000362168,0.000205618
11727098,31.3823,-0.0433124,0.0137157,9.81879,0.000222445,0.000284159,0.000107881
11735170,31.3921,-0.0467431,0.0138058,9.81465,-0.000177562,0.000245737,0.000434446
11743678,31.3818,-0.0463523,0.0204675,9.81805,0.000147078,0.000283186,8.97758e-05
11752186,31.3706,-0.0455352,0.0173123,9.81773,4.89186e-05,0.000111713,-2.2384e-05
11760178,31.3647,-0.0432255,0.0136923,9.81537,-0.000238862,-0.000140389,-9.78014e-05
11797224,31.3701,-0.0443259,0.0121814,9.81644,1.1325e-05,0.000282385,7.19987e-05
11804272,31.3647,-0.0435044,0.0151491,9.81734,9.25036e-05,0.000379626,0.000109733
11812064,31.3662,-0.0429852,0.0164673,9.82211,-8.33802e-05,0.000283174,-3.60786e-06
11820571,31.3745,-0.0434002,0.0179736,9.81651,-0.000122114,0.000207987,3.51308e-05
11825045,31.3774,-0.0443183,0.016327,9.81957,-0.000218134,7.42156e-05,1.69405e-05
11833553,31.3789,-0.044743,0.0181836,9.81109,-0.00019965,7.30299e-05,-0.000134928
11842061,31.375,-0.0462915,0.0133733,9.81499,0.000277485,0.000512326,-0.000158082
11850569,31.3721,-0.0430766,0.0119316,9.8207,-0.000140845,-0.000137286,-2.27467e-05
11905172,31.3745,-0.0418502,0.0120917,9.8129,-0.00018055,0.00020708,9.20404e-05
11913680,31.3706,-0.0418334,0.0152824,9.81508,-0.000198566,0.00053155,7.39456e-05
11922188,31.3696,-0.0431435,0.0165596,9.81614,-8.63355e-05,0.000398327,3.50543e-05
11930695,31.3779,-0.0430721,0.0162309,9.82047,-0.000125271,0.000474182,-2.39024e-05
11935078,31.3867,-0.0438854,0.0132035,9.81467,-0.000199494,0.000110972,-2.16745e-05
11943586,31.3774,-0.0449437,0.0148398,9.81613,0.00010625,0.00039905,-2.71203e-06
11952094,31.3677,-0.0431975,0.0143136,9.82052,0.000108037,0.000262396,0.000110421
11960602,31.3701,-0.0411891,0.0154427,9.81708,-0.000218031,0.000207029,3.65314e-05
11976631,31.3711,-0.0430687,0.0138563,9.81413,0.000143838,0.000494745,-5.57878e-06
11985139,31.3765,-0.0442241,0.0149854,9.82148,-4.42624e-05,0.000302877,0.000146686
11993320,31.3833,-0.0453438,0.0156269,9.81701,-4.43477e-05,1.38508e-05,5.51185e-05
12000579,31.3843,-0.0469822,0.0152574,9.81278,-9.77213e-06,0.000264658,-4.01101e-05
12015560,31.3877,-0.0455682,0.0142342,9.81675,-8.29121e-05,9.40003e-05,-2.07847e-05
12024069,31.3643,-0.0420024,0.0145523,9.8192,-0.000197977,-3.31325e-06,0.000111733
12032545,31.355,-0.0411418,0.0141249,9.81342,-0.000160319,0.000169474,0.000244905
12040587,31.3535,-0.0410918,0.0129233,9.81499,-0.000122691,9.09041e-05,-7.8747e-05
12145189,31.3828,-0.0443218,0.0136509,9.81753,-0.00012205,0.00014919,7.24943e-05
12153697,31.3608,-0.0425474,0.014088,9.81986,-0.000197865,-3.11664e-06,1.66349e-05
12162204,31.3574,-0.0434581,0.0131795,9.81892,-0.000120162,0.000149009,0.000110735
12170712,31.3721,-0.0444276,0.0179213,9.81487,-9.27257e-06,3.37899e-05,3.55004e-05
12176188,31.373,-0.0431345,0.0177846,9.81805,-0.00010327,0.000149467,-2.06664e-05
12184224,31.3838,-0.0451387,0.017186,9.82098,-0.000334113,0.000111759,-0.000230995
12192080,31.3755,-0.0465384,0.0133721,9.81742,-4.78318e-05,0.000130467,-4.69016e-06
12200588,31.3726,-0.0455592,0.0150563,9.81308,-4.58861e-05,0.000169298,7.27043e-05
12306328,31.373,-0.0438406,0.0146563,9.81748,-0.00012229,0.000187382,-0.000137356
12314437,31.3677,-0.0451247,0.0142031,9.81565,-4.74756e-05,0.000131096,-7.92033e-05
12322945,31.3564,-0.0442509,0.0140895,9.8167,-0.000200154,0.000110964,-7.88931e-05
12330682,31.3672,-0.044943,0.0162478,9.81894,3.02086e-05,0.000167021,-7.99264e-05
