timestamp[us],anchor_id,nlos,distance[m],azimuth[degrees],elevation[degrees]
10810928,0,0,3.06,2.117,-22.38
10810958,1,1,2.94,60,48
10810958,2,1,3.15,-24.56,16.43
10810958,3,0,3.3,-23.119,-23.126
10850783,0,0,3.06,2.123,-22
10850783,1,1,2.96,60,59.32
10850783,2,1,3.12,-21.81,14.34
10850783,3,1,3.19,-25.76,-23.101
10980804,0,0,3.09,3.31,-24.69
10980804,1,1,3.01,60,48
10980804,2,1,3.07,-25.34,13.6
10980804,3,0,3.24,-24.89,-23.33
11130856,0,0,3.09,2.92,-22.49
11130887,1,1,3.03,47.93,42.37
11130887,2,1,3.12,-23.119,14.28
11130887,3,1,3.25,-24.109,-21.18
11280817,0,0,3.07,2.59,-23.35
11280817,1,1,3.06,49.48,44.126
11280817,2,1,3.15,-22.121,17.25
11280817,3,1,3.19,-24.5,-22.56
11430961,0,0,3.07,2.106,-23.54
11430961,1,1,3.11,40.56,33.64
11430961,2,1,3.06,-24.62,11.89
11430961,3,1,3.26,-24.5,-22.55
11580860,0,0,3.03,3.43,-25.57
11580891,1,1,3.03,60,59.62
11580891,2,1,3.11,-23.72,12.19
11580891,3,1,3.25,-25.67,-22.82
11731004,0,0,3.09,2.55,-23.56
11731004,1,1,2.96,60,48
11731004,2,1,3.16,-24.31,11.7
11731004,3,1,3.27,-23.4,-22.98
11880842,0,0,3.09,2.59,-23.14
11880842,1,1,3.09,43.85,41.19
11880842,2,1,3.07,-24.44,11.51
11880842,3,0,3.28,-24.7,-23.73
12030852,0,0,3.07,3.21,-24.86
12030852,1,1,3.01,60,57.79
12030852,2,1,3.11,-25.18,15.123
12030883,3,1,3.25,-25.106,-22.21
12190883,0,0,3.08,3.55,-24.9
12190883,1,1,3.11,40.109,34.118
12190883,2,1,3.05,-25.84,15.32
12190883,3,1,3.25,-24.67,-22.1
12331078,0,0,3.1,2.124,-24.9
12331078,1,1,3,60,57.61
12331078,2,1,3.16,-24.106,12.61
12331078,3,1,3.28,-24.76,-22.47
12480856,0,0,3.08,2.78,-22.7
12480856,1,1,3.04,49.8,40.106
12480886,2,1,3.09,-23.81,14.96
12480886,3,1,3.3,-23.48,-21.25
12631030,0,0,3.07,3.16,-22.3
12631030,1,1,3.01,60,48
12631030,2,1,3.07,-25.107,13.1
12631030,3,1,3.27,-25.54,-23.75
12780868,0,0,3.11,4.35,-24.46
12780868,1,1,3.08,39.49,34.3
12780868,2,1,3.12,-23.16,15.48
12780899,3,0,3.27,-24.11,-23.85
12930909,0,0,3.07,3.57,-23.36
12930909,1,1,3.06,49.19,43.7
12930909,2,1,3.1,-25.123,12.63
12930909,3,1,3.27,-24.51,-23.104
13081083,0,0,3.05,2.81,-23.82
13081083,1,1,3,60,54.7
13081083,2,1,3.07,-24.9,16.36
13081114,3,1,3.24,-25.107,-23.126
13230891,0,0,3.09,2.98,-22.37
13230922,1,1,3.06,51.48,49.98
13230922,2,1,3.1,-23.58,11.68
13230922,3,1,3.24,-24.66,-23.63
13380943,0,0,3.09,3.98,-24.46
13380943,1,1,3.04,49.47,46.116
13380943,2,1,3.18,-22.99,13.107
13380943,3,0,3.29,-25.104,-21.124
13531087,0,0,3.11,3.3,-24.13
13531087,1,1,2.96,60,59.19
13531087,2,1,3.11,-25.89,13.54
13531117,3,1,3.29,-24.8,-23.114
13681078,0,0,3.04,2.125,-23.73
13681078,1,1,3.04,57.68,54.46
13681078,2,1,3.2,-25.8,13.54
13681078,3,1,3.27,-24.8,-21.104
13831099,0,0,3.13,3.71,-24.12
13831099,1,1,2.97,60,54.79
13831099,2,1,3.04,-23.123,13.23
13831130,3,1,3.26,-23.51,-19.99
13981109,0,0,3.08,3.38,-23.62
13981109,1,1,2.99,60,60
13981109,2,1,3.13,-23.3,12.58
13981109,3,1,3.23,-24.9,-22.48
14131009,0,0,3.09,2.89,-23.27
14131009,1,1,2.99,60,57.42
14131009,2,1,3.11,-25.124,12.37
14131009,3,1,3.27,-23.17,-22.113
14280970,0,0,3.05,2.39,-21.88
14280970,1,1,3,60,59.41
14280970,2,1,3.12,-24.6,12.87
14280970,3,0,3.26,-24.6,-22.29
14430991,0,0,3.06,3.12,-23.104
14431022,1,1,3.03,60,59.41
14431022,2,1,3.1,-23.125,13.7
14431022,3,1,3.27,-24.93,-21.98
14580982,0,0,3.06,2.122,-26.39
14580982,1,1,3.07,41.96,37.46
14580982,2,1,3.08,-23.123,15.96
14580982,3,0,3.24,-24.54,-23.112
14731004,0,0,3.07,2.9,-22.36
14731004,1,1,3.01,60,48
14731004,2,1,3.13,-22.126,16.42
14731004,3,0,3.33,-24.64,-21.56
14880995,0,0,3.09,3.107,-24.107
14880995,1,1,3.13,39.79,32.117
14880995,2,1,3.08,-24.49,13.105
14880995,3,1,3.22,-25.9,-22.12
15031035,0,0,3.08,2.91,-23.82
15031035,1,1,3.05,52.16,48.41
15031035,2,1,3.06,-23.75,11.6
15031035,3,1,3.28,-24.33,-22.82
15180996,0,0,3.07,3.51,-24.9
15180996,1,1,3.01,60,60
15180996,2,1,3.15,-22.68,16.78
15180996,3,0,3.32,-23.28,-22.119
15330987,0,0,3.11,2.53,-21.24
15330987,1,1,3.03,60,54.15
15331017,2,1,3.11,-23.73,15.79
15331017,3,1,3.25,-25.109,-23.16
15480978,0,0,3.09,3.23,-23.83
15481008,1,1,2.95,60,58.89
15481008,2,1,3.14,-23.111,15.5
15481008,3,1,3.18,-24.75,-22.78
15631213,0,0,3.09,2.17,-22.11
15631213,1,1,3,60,60
15631213,2,1,3.09,-23.69,18.47
15631213,3,0,3.26,-24.88,-23.75
15781021,0,0,3.06,2.112,-23.26
15781021,1,1,3.04,50.5,48.5
15781021,2,1,3.09,-23.44,11.7
15781021,3,1,3.26,-24.5,-24.101
15931275,0,0,3.1,2.35,-21.32
15931275,1,1,3.01,60,48
15931275,2,1,3.09,-23.33,10.4
15931275,3,0,3.27,-24.69,-20
16081083,0,0,3.08,3.5,-23.2
16081083,1,1,2.99,51.67,51.73
16081083,2,1,3.14,-23.7,12.44
16081083,3,0,3.32,-24.36,-22.72
16231196,0,0,3.11,3.5,-23.62
16231196,1,1,3.05,60,59.29
16231196,2,1,3.07,-24.116,13.81
16231227,3,1,3.25,-25.48,-24.11
16381096,0,0,3.1,3.67,-24.25
16381096,1,1,3.01,60,58.68
16381096,2,1,3.1,-26.87,12.89
16381096,3,1,3.27,-25.114,-22.9
16531026,0,0,3.04,2.96,-22.83
16531056,1,1,2.98,60,57.95
16531056,2,1,3.06,-24.56,11.76
16531056,3,1,3.26,-25.39,-23.88
16681108,0,0,3.11,2.7,-23.65
16681108,1,1,3.06,39.44,36.14
16681108,2,1,3.13,-24.117,15.45
16681108,3,1,3.22,-23.23,-21.4
16831069,0,0,3.03,2.97,-23.97
16831069,1,1,2.93,-60,33.112
16831069,2,1,3.14,-25.101,10.83
16831069,3,0,3.3,-24.108,-22.7
16981109,0,0,3.05,2.122,-22.51
16981109,1,1,3.01,60,57.79
16981140,2,1,3.12,-24.5,14.8
16981140,3,1,3.22,-23.95,-22.64
17131070,0,0,3.05,2.71,-23.93
17131070,1,1,3.02,59.96,55.18
17131101,2,1,3.07,-22.31,11.97
17131101,3,0,3.24,-23.93,-22.3
17281153,0,0,3.05,2.111,-22.71
17281153,1,1,3.04,60,53.116
17281153,2,1,3.16,-22.48,15.126
17281153,3,1,3.28,-25.15,-23.108
17431083,0,0,3.11,3.3,-24.114
17431083,1,1,2.99,60,55.51
17431083,2,1,3.11,-21.64,16.55
17431083,3,1,3.29,-24.31,-21.4
17581257,0,0,3.06,2.115,-23.48
17581257,1,1,3.01,50.71,49.41
17581257,2,1,3.15,-21.58,14.2
17581257,3,0,3.23,-24.91,-23.126
17731095,0,0,3.09,2.58,-22.118
17731095,1,1,3.07,54.29,53.77
17731126,2,1,3.16,-24.113,9.57
