timestamp[us],anchor_id,nlos,distance[m],azimuth[deg],elevation[deg]
99624866,0,0,3.3,33.126,-9.28
99624866,1,1,3.08,25.63,60
99624866,2,1,3.5,13.23,-16.127
99624866,3,0,3.49,16.77,-20.9
99784470,0,0,2.94,11.47,-29.11
99784500,1,0,2.79,14.63,13.34
99784500,2,0,2.93,-25.39,15.15
99784500,3,0,3.09,-22.21,-26
99934693,0,0,2.9,10.27,-33.61
99934693,1,0,2.76,14.48,13.15
99934693,2,1,2.89,-24.9,13.21
99934693,3,0,3.19,-22.52,-24.11
100084532,0,0,2.92,10.84,-32.29
100084532,1,0,2.8,14.48,12.114
100084532,2,1,2.93,-25.43,15.65
100084532,3,0,3.15,-22.18,-25.68
100234736,0,0,2.89,11.6,-32.67
100234736,1,0,2.79,13.75,12.111
100234736,2,0,2.9,-27.55,13.82
100234736,3,0,3.15,-22.75,-28.52
100384575,0,0,2.93,12.103,-28.53
100384575,1,0,2.74,14.6,13.118
100384575,2,1,2.89,-26.1,15.32
100384605,3,0,3.13,-20.11,-23
100534657,0,0,2.91,10.66,-34.3
100534657,1,0,2.81,13.1,13.56
100534688,2,0,2.92,-25.27,15.111
100534688,3,0,3.1,-21.94,-28.101
100684648,0,0,2.92,12.6,-29.27
100684648,1,0,2.75,14.24,13.82
100684648,2,1,2.88,-26.126,15.26
100684648,3,0,3.11,-21.18,-24.25
100834548,0,0,2.95,13.5,-29.64
100834548,1,0,2.78,14.119,12.91
100834548,2,0,2.94,-26.23,12.119
100834548,3,0,3.12,-22.75,-26.79
100984619,0,0,2.94,11.12,-31.4
100984619,1,0,2.8,15.64,12.82
100984619,2,1,2.88,-25.13,12.97
100984619,3,0,3.13,-22.87,-26.77
101134763,0,0,2.91,11.13,-33.109
101134763,1,0,2.74,14.104,13.74
101134763,2,1,2.89,-25.55,15.119
101134763,3,0,3.1,-22.83,-28.4
101284632,0,0,2.95,11.116,-28.56
101284632,1,0,2.73,13.104,14
101284632,2,1,2.87,-28.112,14.38
101284632,3,0,3.13,-22.28,-27.81
101434562,0,0,2.94,11.18,-33.28
101434562,1,0,2.78,15.102,13.64
101434592,2,0,2.91,-25.92,14.19
101434592,3,0,3.18,-21.48,-24.51
101584614,0,0,2.92,10.114,-31.96
101584644,1,0,2.76,13.12,13.49
101584644,2,1,2.9,-27.82,14.112
101584644,3,0,3.09,-23.6,-27.5
101734574,0,0,2.93,9.127,-31.67
101734605,1,0,2.78,14.79,12.68
101734605,2,0,2.97,-27.81,14.106
101734605,3,0,3.12,-23.107,-25.35
101884687,0,0,2.94,11.41,-28.44
101884687,1,0,2.74,15.37,13.63
101884687,2,1,2.94,-26.46,15.3
101884718,3,0,3.17,-22.3,-25.43
102034606,0,0,2.91,11.42,-32.117
102034606,1,0,2.75,15.77,13.24
102034606,2,1,2.94,-25.105,13.72
